ID	alpha	delta	F_lambda850mum	
HC219	5 35 15.16	-5 23 46.70	<1.1	
HC359	5 35 15.18	-5 23 5.00	<0.6	
HC437	5 35 15.21	-5 22 36.70	<5.0	
HC478	5 35 15.21	-5 22 24.10	<7.1	
HC211	5 35 15.25	-5 23 49.80	<1.1	
HC386	5 35 15.27	-5 22 56.70	<0.8	
HC299	5 35 15.30	-5 23 23.20	<0.5	
HC310	5 35 15.35	-5 23 21.40	<0.5	
HC476	5 35 15.35	-5 22 25.20	<5.3	
154-225	5 35 15.37	-5 22 25.35	<5.0	
HC261	5 35 15.38	-5 23 33.40	<0.5	
HC327	5 35 15.54	-5 23 15.80	<0.6	
HC419	5 35 15.55	-5 22 46.40	<1.2	
HC274	5 35 15.56	-5 23 29.60	<0.5	
HC378	5 35 15.60	-5 22 58.90	<0.6	
HC172	5 35 15.62	-5 24 3.10	<1.3	
HC236	5 35 15.70	-5 23 41.90	<0.5	
HC248	5 35 15.76	-5 23 38.40	<1.7	
HC344	5 35 15.77	-5 23 9.90	<0.7	
158-326	5 35 15.81	-5 23 25.51	<0.9	
HC340	5 35 15.81	-5 23 12.00	<0.8	
HC420	5 35 15.84	-5 22 45.90	<0.8	
HC769	5 35 15.96	-5 22 41.10	<0.8	
HC304	5 35 15.97	-5 23 22.70	<0.8	
HC303	5 35 16.10	-5 23 23.20	<0.6	
HC768	5 35 16.14	-5 22 45.10	<0.8	
HC435	5 35 16.20	-5 22 37.50	<0.8	
HC758	5 35 16.24	-5 22 24.30	<1.0	
HC317	5 35 16.24	-5 23 19.10	<0.6	
HC479	5 35 16.31	-5 22 24.00	<1.0	
HC292	5 35 16.35	-5 23 25.30	<0.6	
HC485	5 35 16.38	-5 22 22.30	<1.0	
HC341	5 35 16.41	-5 23 11.50	<0.5	
HC309	5 35 16.46	-5 23 23.00	<0.6	
165-235	5 35 16.48	-5 22 35.16	<0.8	
HC390	5 35 16.49	-5 22 56.50	<0.6	
166-406	5 35 16.57	-5 24 6.00	<1.0	
166-250	5 35 16.59	-5 22 50.36	<0.7	
HC293	5 35 16.73	-5 23 25.20	<0.7	
HC170	5 35 16.77	-5 24 4.30	<0.9	
168-235	5 35 16.81	-5 22 34.71	<0.8	
HC235	5 35 16.84	-5 23 42.30	<0.4	
HC349	5 35 16.87	-5 23 7.10	<0.5	
169-338	5 35 16.88	-5 23 38.10	<1.2	
HC484	5 35 16.90	-5 22 22.50	<0.9	
HC441	5 35 16.91	-5 22 35.20	<0.7	
HC450	5 35 17.01	-5 22 33.10	<0.7	
HC410	5 35 17.12	-5 22 50.10	<1.0	
HC315	5 35 17.16	-5 23 20.40	<0.5	
HC330	5 35 17.24	-5 23 16.60	<0.5	
HC493	5 35 17.34	-5 22 21.20	<0.9	
174-305	5 35 17.37	-5 23 4.86	<0.5	
HC237	5 35 17.41	-5 23 41.80	<0.5	
HC469	5 35 17.58	-5 22 27.80	<0.6	
176-252	5 35 17.64	-5 22 51.66	<0.7	
177-341E	5 35 17.73	-5 23 41.10	<1.0	
HC333	5 35 17.74	-5 23 14.90	<0.5	
HC462	5 35 17.76	-5 22 31.00	<0.5	
HC230	5 35 17.79	-5 23 44.20	<0.5	
HC367	5 35 17.87	-5 23 3.10	<0.5	
HC425	5 35 17.95	-5 22 45.50	<0.6	
HC256	5 35 17.97	-5 23 35.50	<0.4	
HC372	5 35 18.08	-5 23 1.80	<0.5	
HC221	5 35 18.21	-5 23 46.30	<0.4	
HC348	5 35 18.28	-5 23 7.50	<0.5	
183-405	5 35 18.33	-5 24 4.85	<1.0	
HC430	5 35 18.40	-5 22 40.00	<0.4	
HC185	5 35 18.51	-5 23 57.80	<0.6	
HC765	5 35 18.53	-5 23 47.90	<0.4	
HC384	5 35 18.53	-5 22 58.10	<0.6	
HC463	5 35 18.58	-5 22 31.00	<0.5	
HC311	5 35 18.97	-5 23 22.00	<0.4	
HC357	5 35 19.11	-5 23 6.30	<0.7	
HC444	5 35 19.14	-5 22 34.60	<0.5	
HC408	5 35 19.22	-5 22 50.70	<0.6	
HC356	5 35 19.38	-5 23 6.50	<0.6	
HC491	5 35 19.47	-5 22 21.80	<1.0	
HC728	5 35 19.51	-5 23 39.70	<0.6	
HC188	5 35 19.62	-5 23 57.30	<0.8	
HC446	5 35 19.68	-5 22 34.20	<0.7	
HC210	5 35 19.86	-5 23 51.60	<1.0	
HC176	5 35 19.93	-5 24 2.60	<1.4	
HC452	5 35 19.98	-5 22 32.80	<1.4	
HC766	5 35 20.00	-5 23 28.80	<1.4	
HC474	5 35 20.03	-5 22 26.50	<1.6	
